DATE,Employment-Private
2003-01-01,108798.333333333333
2003-04-01,108599.000000000000
2003-07-01,108631.666666666667
2003-10-01,108959.000000000000
2004-01-01,109350.000000000000
2004-04-01,110021.333333333333
2004-07-01,110333.333333333333
2004-10-01,110844.666666666667
2005-01-01,111248.333333333333
2005-04-01,111948.333333333333
2005-07-01,112592.666666666667
2005-10-01,113079.666666666667
2006-01-01,113856.000000000000
2006-04-01,114339.666666666667
2006-07-01,114656.000000000000
2006-10-01,114977.000000000000
2007-01-01,115478.666666666667
2007-04-01,115777.666666666667
2007-07-01,115828.666666666667
2007-10-01,115952.333333333333
2008-01-01,115909.666666666667
2008-04-01,115374.666666666667
2008-07-01,114595.666666666667
2008-10-01,113008.000000000000
2009-01-01,110719.333333333333
2009-04-01,108809.000000000000
2009-07-01,107957.333333333333
2009-10-01,107463.333333333333
2010-01-01,107292.333333333333
2010-04-01,107652.000000000000
2010-07-01,107982.333333333333
2010-10-01,108453.000000000000
2011-01-01,108835.333333333333
2011-04-01,109589.000000000000
2011-07-01,110137.000000000000
2011-10-01,110745.333333333333
2012-01-01,111557.333333333333
2012-04-01,111999.000000000000
2012-07-01,112413.666666666667
2012-10-01,112969.000000000000
2013-01-01,113626.000000000000
2013-04-01,114221.000000000000
2013-07-01,114788.000000000000
2013-10-01,115409.333333333333
2014-01-01,115924.333333333333
2014-04-01,116684.000000000000
2014-07-01,117414.666666666667
2014-10-01,118154.666666666667
2015-01-01,118802.333333333333
2015-04-01,119468.333333333333
2015-07-01,120078.000000000000
2015-10-01,120748.000000000000
2016-01-01,121281.333333333333
2016-04-01,121782.000000000000
2016-07-01,122414.666666666667
2016-10-01,122930.000000000000
2017-01-01,123496.000000000000
2017-04-01,124035.666666666667
2017-07-01,124553.666666666667
2017-10-01,124973.666666666667
2018-01-01,125596.333333333333
2018-04-01,126257.333333333333
2018-07-01,126759.000000000000
2018-10-01,127163.333333333333
2019-01-01,127631.000000000000
2019-04-01,128078.000000000000
2019-07-01,128502.333333333333
2019-10-01,128920.333333333333
2020-01-01,128972.666666666667
2020-04-01,112125.000000000000
2020-07-01,118728.000000000000
2020-10-01,120859.333333333333
2021-01-01,121797.000000000000
2021-04-01,123213.666666666667
2021-07-01,125115.333333333333
2021-10-01,127114.333333333333
2022-01-01,128770.000000000000
2022-04-01,129933.000000000000
2022-07-01,131113.666666666667
2022-10-01,131973.333333333333
2023-01-01,132738.000000000000
2023-04-01,133284.666666666667
