DATE,Inflation expectation
2003-01-01,2.766666667
2003-04-01,2.166666667
2003-07-01,2.333333333
2003-10-01,2.633333333
2004-01-01,2.733333333
2004-04-01,3.266666667
2004-07-01,2.866666667
2004-10-01,2.966666667
2005-01-01,3
2005-04-01,3.233333333
2005-07-01,3.466666667
2005-10-01,3.666666667
2006-01-01,3
2006-04-01,3.533333333
2006-07-01,3.366666667
2006-10-01,3
2007-01-01,3
2007-04-01,3.333333333
2007-07-01,3.233333333
2007-10-01,3.3
2008-01-01,3.766666667
2008-04-01,5.033333333
2008-07-01,4.733333333
2008-10-01,2.833333333
2009-01-01,2.033333333
2009-04-01,2.9
2009-07-01,2.633333333
2009-10-01,2.7
2010-01-01,2.733333333
2010-04-01,2.966666667
2010-07-01,2.533333333
2010-10-01,2.9
2011-01-01,3.8
2011-04-01,4.166666667
2011-07-01,3.4
2011-10-01,3.166666667
2012-01-01,3.5
2012-04-01,3.1
2012-07-01,3.3
2012-10-01,3.133333333
2013-01-01,3.266666667
2013-04-01,3.066666667
2013-07-01,3.133333333
2013-10-01,2.966666667
2014-01-01,3.166666667
2014-04-01,3.2
2014-07-01,3.166666667
2014-10-01,2.833333333
2015-01-01,2.766666667
2015-04-01,2.7
2015-07-01,2.8
2015-10-01,2.666666667
2016-01-01,2.566666667
2016-04-01,2.6
2016-07-01,2.533333333
2016-10-01,2.333333333
2017-01-01,2.6
2017-04-01,2.566666667
2017-07-01,2.633333333
2017-10-01,2.533333333
2018-01-01,2.733333333
2018-04-01,2.833333333
2018-07-01,2.866666667
2018-10-01,2.8
2019-01-01,2.6
2019-04-01,2.7
2019-07-01,2.7
2019-10-01,2.433333333
2020-01-01,2.366666667
2020-04-01,2.766666667
2020-07-01,2.9
2020-10-01,2.633333333
2021-01-01,3.133333333
2021-04-01,4.066666667
2021-07-01,4.633333333
2021-10-01,4.833333333
2022-01-01,5.066666667
2022-04-01,5.333333333
2022-07-01,4.9
2022-10-01,4.766666667
2023-01-01,3.866666667
2023-04-01,4.033333333
